group,variable,value
1203,ANT(4')-IIb,1
1203,APH(3'')-Ib,0
1203,AcrE,1
1203,AcrF,1
1203,AcrS,1
1203,BUT-1,1
1203,CARB-18,0
1203,CARB-20,0
1203,CARB-21,0
1203,CARB-22,0
1203,CRP,1
1203,GlpT,1
1203,H-NS,1
1203,ICR-Mc,0
1203,OCH-7,0
1203,PmrF,1
1203,TolC,1
1203,YojI,1
1203,acrA,1
1203,acrB,1
1203,acrD,0
1203,acrR,1
1203,adeF,1
1203,bacA,1
1203,baeR,1
1203,baeS,1
1203,cpxA,1
1203,dfrA5,0
1203,emrA,1
1203,emrB,1
1203,emrE,1
1203,emrK,1
1203,emrR,1
1203,emrY,1
1203,eptA,1
1203,evgA,1
1203,evgS,1
1203,floR,0
1203,gadW,1
1203,gadX,1
1203,gyrA,0
1203,kdpE,1
1203,marA,1
1203,marR,1
1203,mdfA,1
1203,mdtA,1
1203,mdtB,1
1203,mdtC,1
1203,mdtE,1
1203,mdtF,1
1203,mdtG,1
1203,mdtH,1
1203,mdtM,1
1203,mdtN,1
1203,mdtO,1
1203,mdtP,1
1203,msbA,1
1203,nfsA,1
1203,parC,0
1203,rpoB,0
1203,soxR,1
1203,soxS,1
1203,sul2,0
1203,tet(B),0
1203,tet(D),0
1203,tetR,0
1203,ugd,1
1203,vgaC,0
1686,ANT(4')-IIb,1
1686,APH(3'')-Ib,0
1686,AcrE,1
1686,AcrF,1
1686,AcrS,1
1686,BUT-1,1
1686,CARB-18,0
1686,CARB-20,0
1686,CARB-21,0
1686,CARB-22,0
1686,CRP,1
1686,GlpT,1
1686,H-NS,1
1686,ICR-Mc,0
1686,OCH-7,1
1686,PmrF,1
1686,TolC,1
1686,YojI,1
1686,acrA,1
1686,acrB,1
1686,acrD,0
1686,acrR,1
1686,adeF,1
1686,bacA,1
1686,baeR,1
1686,baeS,1
1686,cpxA,1
1686,dfrA5,0
1686,emrA,1
1686,emrB,1
1686,emrE,1
1686,emrK,1
1686,emrR,1
1686,emrY,1
1686,eptA,1
1686,evgA,1
1686,evgS,1
1686,floR,0
1686,gadW,1
1686,gadX,1
1686,gyrA,0
1686,kdpE,1
1686,marA,1
1686,marR,1
1686,mdfA,1
1686,mdtA,1
1686,mdtB,1
1686,mdtC,1
1686,mdtE,1
1686,mdtF,1
1686,mdtG,1
1686,mdtH,1
1686,mdtM,1
1686,mdtN,1
1686,mdtO,1
1686,mdtP,1
1686,msbA,1
1686,nfsA,1
1686,parC,0
1686,rpoB,0
1686,soxR,1
1686,soxS,1
1686,sul2,0
1686,tet(B),0
1686,tet(D),0
1686,tetR,0
1686,ugd,1
1686,vgaC,0
1240,ANT(4')-IIb,1
1240,APH(3'')-Ib,0
1240,AcrE,1
1240,AcrF,1
1240,AcrS,1
1240,BUT-1,1
1240,CARB-18,0
1240,CARB-20,0
1240,CARB-21,0
1240,CARB-22,0
1240,CRP,1
1240,GlpT,1
1240,H-NS,1
1240,ICR-Mc,0
1240,OCH-7,0
1240,PmrF,1
1240,TolC,1
1240,YojI,1
1240,acrA,1
1240,acrB,1
1240,acrD,0
1240,acrR,1
1240,adeF,1
1240,bacA,1
1240,baeR,1
1240,baeS,1
1240,cpxA,1
1240,dfrA5,0
1240,emrA,1
1240,emrB,1
1240,emrE,1
1240,emrK,1
1240,emrR,1
1240,emrY,1
1240,eptA,1
1240,evgA,1
1240,evgS,1
1240,floR,0
1240,gadW,1
1240,gadX,1
1240,gyrA,0
1240,kdpE,1
1240,marA,1
1240,marR,1
1240,mdfA,1
1240,mdtA,1
1240,mdtB,1
1240,mdtC,1
1240,mdtE,1
1240,mdtF,1
1240,mdtG,1
1240,mdtH,1
1240,mdtM,1
1240,mdtN,1
1240,mdtO,1
1240,mdtP,1
1240,msbA,1
1240,nfsA,1
1240,parC,0
1240,rpoB,0
1240,soxR,1
1240,soxS,1
1240,sul2,0
1240,tet(B),0
1240,tet(D),0
1240,tetR,0
1240,ugd,1
1240,vgaC,0
1204,ANT(4')-IIb,1
1204,APH(3'')-Ib,0
1204,AcrE,1
1204,AcrF,1
1204,AcrS,1
1204,BUT-1,1
1204,CARB-18,0
1204,CARB-20,0
1204,CARB-21,0
1204,CARB-22,0
1204,CRP,1
1204,GlpT,1
1204,H-NS,1
1204,ICR-Mc,0
1204,OCH-7,0
1204,PmrF,1
1204,TolC,1
1204,YojI,1
1204,acrA,1
1204,acrB,1
1204,acrD,0
1204,acrR,1
1204,adeF,1
1204,bacA,1
1204,baeR,1
1204,baeS,1
1204,cpxA,1
1204,dfrA5,0
1204,emrA,1
1204,emrB,1
1204,emrE,1
1204,emrK,1
1204,emrR,1
1204,emrY,1
1204,eptA,1
1204,evgA,1
1204,evgS,1
1204,floR,0
1204,gadW,1
1204,gadX,1
1204,gyrA,0
1204,kdpE,1
1204,marA,1
1204,marR,1
1204,mdfA,1
1204,mdtA,1
1204,mdtB,1
1204,mdtC,1
1204,mdtE,1
1204,mdtF,1
1204,mdtG,1
1204,mdtH,1
1204,mdtM,1
1204,mdtN,1
1204,mdtO,1
1204,mdtP,1
1204,msbA,1
1204,nfsA,1
1204,parC,0
1204,rpoB,0
1204,soxR,1
1204,soxS,1
1204,sul2,0
1204,tet(B),0
1204,tet(D),0
1204,tetR,0
1204,ugd,1
1204,vgaC,0
1357,ANT(4')-IIb,1
1357,APH(3'')-Ib,0
1357,AcrE,1
1357,AcrF,1
