variable,group,value
acrA,1032,1
acrB,1032,0
allB,1032,1
aslA,1032,1
cesAB,1032,1
cesD,1032,1
cesD2,1032,0
cesL,1032,0
cesT,1032,0
csgB,1032,0
eae,1032,1
east1,1032,1
efa1,1032,1
entB,1032,0
entC,1032,0
entD,1032,1
entE,1032,1
entF,1032,1
entS,1032,1
escC,1032,1
escD,1032,0
escE,1032,1
escF,1032,1
escG,1032,1
escI,1032,1
escJ,1032,1
escL,1032,1
escN,1032,0
escO,1032,1
escR,1032,1
escS,1032,1
escT,1032,1
escU,1032,1
escV,1032,1
espA,1032,1
espB,1032,1
espD,1032,1
espF,1032,0
espFu/tccP,1032,0
espG,1032,1
espK,1032,0
espL1,1032,1
espL2,1032,1
espL4,1032,1
espM1,1032,1
espN,1032,1
espP,1032,1
espR1,1032,1
espX1,1032,1
espX4,1032,1
espX5,1032,1
espX7/nleL,1032,1
etgA,1032,1
fdeC,1032,1
fepA,1032,1
fepB,1032,1
fepC,1032,1
fepD,1032,1
fepG,1032,0
fes,1032,0
fimA,1032,1
fimB,1032,1
fimC,1032,0
fimD,1032,0
fimE,1032,0
fimF,1032,0
fimG,1032,1
fimH,1032,0
acrA,1759,1
acrB,1759,0
allB,1759,1
aslA,1759,1
cesAB,1759,1
cesD,1759,1
cesD2,1759,0
cesL,1759,0
cesT,1759,0
csgB,1759,0
eae,1759,1
east1,1759,1
efa1,1759,1
entB,1759,0
entC,1759,0
entD,1759,1
entE,1759,1
entF,1759,1
entS,1759,1
escC,1759,1
escD,1759,0
escE,1759,1
escF,1759,1
escG,1759,1
escI,1759,1
escJ,1759,1
escL,1759,1
escN,1759,0
escO,1759,1
escR,1759,1
escS,1759,1
escT,1759,1
escU,1759,1
escV,1759,1
espA,1759,1
espB,1759,1
espD,1759,1
espF,1759,0
espFu/tccP,1759,0
espG,1759,1
espK,1759,0
espL1,1759,1
espL2,1759,1
espL4,1759,1
espM1,1759,1
espN,1759,1
espP,1759,1
espR1,1759,1
espX1,1759,1
espX4,1759,1
espX5,1759,1
espX7/nleL,1759,1
etgA,1759,1
fdeC,1759,1
fepA,1759,1
fepB,1759,1
fepC,1759,1
fepD,1759,1
fepG,1759,0
fes,1759,0
fimA,1759,1
fimB,1759,1
fimC,1759,0
fimD,1759,0
fimE,1759,0
fimF,1759,0
fimG,1759,1
fimH,1759,0
acrA,1036,1
acrB,1036,0
allB,1036,1
aslA,1036,1
cesAB,1036,1
cesD,1036,1
cesD2,1036,0
cesL,1036,0
cesT,1036,1
csgB,1036,0
eae,1036,1
east1,1036,1
efa1,1036,1
entB,1036,0
entC,1036,0
entD,1036,1
entE,1036,1
entF,1036,1
entS,1036,1
escC,1036,1
escD,1036,0
escE,1036,1
escF,1036,1
escG,1036,1
escI,1036,1
escJ,1036,1
escL,1036,1
escN,1036,0
escO,1036,1
escR,1036,1
escS,1036,1
escT,1036,1
escU,1036,1
escV,1036,1
espA,1036,1
espB,1036,1
espD,1036,1
espF,1036,0
espFu/tccP,1036,0
espG,1036,1
espK,1036,0
espL1,1036,1
espL2,1036,1
espL4,1036,1
espM1,1036,1
espN,1036,1
espP,1036,1
espR1,1036,1
espX1,1036,1
espX4,1036,1
espX5,1036,1
espX7/nleL,1036,1
etgA,1036,1
fdeC,1036,1
fepA,1036,1
fepB,1036,1
fepC,1036,1
fepD,1036,1
fepG,1036,0
fes,1036,0
fimA,1036,1
fimB,1036,1
fimC,1036,0
fimD,1036,0
fimE,1036,0
fimF,1036,0
fimG,1036,1
fimH,1036,0
acrA,1751,1
acrB,1751,0
allB,1751,1
aslA,1751,1
cesAB,1751,1
cesD,1751,1
cesD2,1751,1
cesL,1751,0
cesT,1751,0
csgB,1751,0
eae,1751,1
east1,1751,1
efa1,1751,1
entB,1751,0
entC,1751,0
entD,1751,1
entE,1751,1
entF,1751,1
entS,1751,1
escC,1751,1
escD,1751,0
escE,1751,1
escF,1751,1
escG,1751,1
escI,1751,1
escJ,1751,1
escL,1751,1
escN,1751,0
escO,1751,1
escR,1751,1
escS,1751,1
escT,1751,1
escU,1751,1
escV,1751,1
espA,1751,1
espB,1751,1
espD,1751,1
espF,1751,0
espFu/tccP,1751,0
espG,1751,1
espK,1751,0
espL1,1751,1
espL2,1751,1
espL4,1751,1
espM1,1751,1
espN,1751,1
espP,1751,1
espR1,1751,1
espX1,1751,1
espX4,1751,1
espX5,1751,1
espX7/nleL,1751,1
etgA,1751,1
fdeC,1751,1
fepA,1751,1
fepB,1751,1
fepC,1751,1
fepD,1751,1
fepG,1751,0
fes,1751,0
fimA,1751,1
fimB,1751,1
fimC,1751,0
fimD,1751,0
fimE,1751,0
fimF,1751,0
fimG,1751,1
fimH,1751,0
